participant,adjP,adjP10,adjP20,adjP30,condition,points,exploded.balloons,change,age,gender,overall,comfort,smoothness,accuracy,force,mental.effort,physical.effort,finger,wrist,arm,shoulder,neck,I.plan.tasks.carefully.,I.do.things.without.thinking.,I.make.up.my.mind.quickly.,I.am.happy.go.lucky.,I.don.t..pay.attention..,I.have..racing..thoughts.,I.plan.trips.well.ahead.of.time.,I.am.self.controlled.,I.concentrate.easily.,I.save.regularly.,I..squirm..at.plays.or.lectures.,I.am.a.careful.thinker.,I.plan.for.job.security.,I.say.things.without.thinking.,I.like.to.think.about.complex.problems.,I.change.jobs.,I.act..on.impulse..,I.get.easily.bored.when.solving.thought.problems.,I.act.on.the.spur.of.the.moment.,I.am.a.steady.thinker.,I.change.residences.,I.buy.things.on.impulse.,I.can.only.think.about.one.thing.at.a.time.,I.change.hobbies.,I.spend.or.charge.more.than.I.earn.,I.often.have.extraneous.thoughts.when.thinking.,I.am.more.interested.in.the.present.than.the.future.,I.am.restless.at.the.theater.or.lectures.,I.like.puzzles.,I.am.future.oriented.,BIS_index,BIS
35,60.1333333333333,59,57.4,64,constrictive,902,15,8.47457627118644,24,male,5,3,4,4,2,4,2,4,2,2,1,1,occasionally,often,almost always / always,almost always / always,occasionally,occasionally,occasionally,often,often,almost always / always,occasionally,often,often,almost always / always,often,often,almost always / always,rarely / never,often,often,almost always / always,rarely / never,rarely / never,rarely / never,occasionally,often,often,rarely / never,occasionally,often,72,high
36,50.3529411764706,46.5,56.6,49,expansive,856,13,5.37634408602151,32,male,2,3,3,4,4,1,3,1,2,1,1,1,occasionally,occasionally,occasionally,occasionally,occasionally,often,occasionally,occasionally,occasionally,occasionally,occasionally,occasionally,rarely / never,occasionally,often,occasionally,occasionally,rarely / never,occasionally,often,rarely / never,occasionally,rarely / never,rarely / never,occasionally,often,occasionally,rarely / never,often,occasionally,66,high
37,26.304347826087,22.7142857142857,28.2222222222222,27.4285714285714,constrictive,605,7,20.7547169811321,23,male,5,4,4,5,2,2,1,1,2,2,1,1,rarely / never,occasionally,often,occasionally,occasionally,often,rarely / never,occasionally,occasionally,occasionally,rarely / never,often,occasionally,occasionally,almost always / always,often,often,rarely / never,occasionally,occasionally,often,occasionally,occasionally,occasionally,occasionally,often,occasionally,occasionally,rarely / never,often,74,high
38,34.9523809523809,28.5,34,42.8333333333333,expansive,734,9,50.2923976608187,25,male,5,3,4,5,2,2,3,2,4,2,2,2,occasionally,occasionally,rarely / never,often,occasionally,often,rarely / never,often,occasionally,occasionally,occasionally,occasionally,rarely / never,rarely / never,occasionally,often,occasionally,occasionally,occasionally,rarely / never,occasionally,often,rarely / never,often,rarely / never,almost always / always,occasionally,often,occasionally,occasionally,77,high
39,21.625,16.2857142857143,21.5555555555556,26.375,constrictive,519,6,61.9517543859649,23,female,2,3,2,4,1,2,1,1,1,2,2,1,occasionally,almost always / always,almost always / always,occasionally,occasionally,occasionally,rarely / never,often,occasionally,often,occasionally,rarely / never,often,occasionally,often,occasionally,occasionally,occasionally,occasionally,rarely / never,rarely / never,occasionally,occasionally,occasionally,rarely / never,almost always / always,occasionally,occasionally,occasionally,occasionally,74,high
40,35.3,25.5,34.875,45.6666666666667,expansive,706,10,79.0849673202614,37,female,5,4,4,4,3,1,2,2,4,4,4,3,often,often,often,occasionally,occasionally,almost always / always,often,often,often,occasionally,often,often,often,often,often,occasionally,occasionally,rarely / never,occasionally,occasionally,occasionally,often,rarely / never,occasionally,occasionally,often,occasionally,occasionally,often,occasionally,69,high
41,50.1578947368421,33.7142857142857,58.1428571428571,62,constrictive,953,11,83.8983050847458,20,female,4,4,5,4,3,1,1,2,1,2,1,2,often,occasionally,occasionally,often,occasionally,often,occasionally,often,occasionally,rarely / never,often,almost always / always,occasionally,occasionally,occasionally,occasionally,often,often,often,often,occasionally,almost always / always,rarely / never,occasionally,often,often,rarely / never,often,occasionally,often,75,high
42,53.6875,42.6666666666667,54.3333333333333,69.25,expansive,859,14,62.3046875,25,female,5,5,5,5,1,1,1,1,1,1,1,1,often,rarely / never,occasionally,often,rarely / never,occasionally,often,often,occasionally,often,rarely / never,occasionally,often,occasionally,almost always / always,occasionally,occasionally,rarely / never,occasionally,often,rarely / never,occasionally,rarely / never,occasionally,rarely / never,occasionally,occasionally,rarely / never,almost always / always,almost always / always,52,low
43,51.4736842105263,44.1428571428571,57.1666666666667,54.3333333333333,constrictive,978,11,23.0852211434736,22,female,4,3,3,5,3,3,3,2,2,3,3,3,almost always / always,occasionally,often,occasionally,occasionally,occasionally,almost always / always,almost always / always,often,almost always / always,rarely / never,almost always / always,occasionally,often,often,occasionally,often,often,often,almost always / always,occasionally,often,occasionally,occasionally,rarely / never,occasionally,occasionally,occasionally,almost always / always,almost always / always,57,low
44,36.0909090909091,20.8571428571429,34.4444444444444,56.3333333333333,expansive,794,8,170.091324200913,35,female,5,5,5,4,3,1,1,3,3,3,3,3,almost always / always,rarely / never,often,almost always / always,rarely / never,rarely / never,almost always / always,almost always / always,often,almost always / always,rarely / never,almost always / always,almost always / always,rarely / never,often,occasionally,rarely / never,occasionally,occasionally,often,occasionally,occasionally,rarely / never,rarely / never,rarely / never,occasionally,often,rarely / never,almost always / always,almost always / always,46,low
